epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1879.64,0.4597,0.38781,0.89382,0.83789,0.94102,0.91289,0.80848,0.48691,0.43796,0.93082,5.0752e-05,5.0752e-05,5.0752e-05
42,1925.29,0.45643,0.38487,0.88911,0.85888,0.91787,0.91557,0.80858,0.49251,0.43593,0.93213,4.59208e-05,4.59208e-05,4.59208e-05
43,1971.37,0.45251,0.37875,0.89333,0.87392,0.906,0.91266,0.80988,0.4822,0.43755,0.92083,4.10896e-05,4.10896e-05,4.10896e-05
44,2017.37,0.44686,0.3651,0.89206,0.85547,0.91652,0.91952,0.81614,0.47512,0.43673,0.916,3.62584e-05,3.62584e-05,3.62584e-05
45,2063.42,0.43814,0.36783,0.88552,0.83192,0.94558,0.91232,0.81162,0.47438,0.43391,0.92159,3.14272e-05,3.14272e-05,3.14272e-05
46,2109.43,0.43346,0.35707,0.88025,0.85469,0.93128,0.91276,0.809,0.47263,0.42362,0.91898,2.6596e-05,2.6596e-05,2.6596e-05
47,2155.43,0.4287,0.35264,0.88454,0.8702,0.89215,0.90905,0.81096,0.47503,0.42961,0.9156,2.17648e-05,2.17648e-05,2.17648e-05
48,2201.43,0.42519,0.34603,0.87813,0.85215,0.92707,0.91126,0.81134,0.47592,0.42659,0.92236,1.69336e-05,1.69336e-05,1.69336e-05
49,2247.43,0.42375,0.34056,0.87957,0.85288,0.93459,0.91279,0.81411,0.47499,0.42046,0.92424,1.21024e-05,1.21024e-05,1.21024e-05
50,2293.45,0.41853,0.33566,0.87543,0.84819,0.93154,0.91989,0.82,0.47287,0.41989,0.92008,7.2712e-06,7.2712e-06,7.2712e-06
